Country,Year,Coal,Oil,Gas,Electricity,Other
China,2000,0.724696933,0.045600917,0.126001853,0.093702823,0.009997473
China,2001,0.709494771,0.043906265,0.14305445,0.093918573,0.00962594
China,2002,0.697642509,0.04258504,0.156349392,0.094086782,0.009336277
China,2003,0.676330768,0.040209326,0.180255237,0.09438924,0.008815429
China,2004,0.636068169,0.035721074,0.225418674,0.09496065,0.007831432
China,2005,0.624263762,0.034405184,0.238659935,0.095128179,0.007542938
China,2006,0.53254033,0.024180365,0.341548114,0.096429926,0.005301265
China,2007,0.563231788,0.027601678,0.307120835,0.09599435,0.006051348
China,2008,0.528679969,0.023750033,0.345878365,0.096484713,0.00520692
China,2009,0.465334969,0.016688684,0.416933836,0.097383711,0.003658801
China,2010,0.45250964,0.015258987,0.431320287,0.097565729,0.003345356
China,2011,0.421547,0.011807444,0.466051758,0.098005153,0.002588645
China,2012,0.429522951,0.012696559,0.457104959,0.097891958,0.002783573
China,2013,0.403728726,0.009821162,0.486038905,0.098258032,0.002153176
China,2014,0.378413059,0.006999111,0.514436042,0.098617314,0.001534474
China,2015,0.355888974,0.004488251,0.5397018,0.098936978,0.000983997
China,2016,0.34679639,0.00347466,0.54990115,0.09906602,0.000761779
China,2017,0.34839158,0.003652483,0.54811179,0.099043381,0.000800765
China,2018,0.339953024,0.0027118,0.557577503,0.099163142,0.000594531
