Country,Value,Year,unit
Argentina,403,2017,thousand metric tons
Australia,1449,2017,thousand metric tons
Azerbaijan,35,2017,thousand metric tons
Bahrain,981,2017,thousand metric tons
Bosnia Herzegovina,90,2017,thousand metric tons
Brazil,801,2017,thousand metric tons
Cameroon,60,2017,thousand metric tons
Canada,3212,2017,thousand metric tons
China,32723,2017,thousand metric tons
Egypt,300,2017,thousand metric tons
France,429,2017,thousand metric tons
Germany,550,2017,thousand metric tons
Ghana,35,2017,thousand metric tons
Greece,180,2017,thousand metric tons
Iceland,870,2017,thousand metric tons
India,3269,2017,thousand metric tons
Indonesia,250,2017,thousand metric tons
Iran,340,2017,thousand metric tons
Japan,NA,2017,thousand metric tons
Kazakhstan,225,2017,thousand metric tons
Malaysia,620,2017,thousand metric tons
Montenegro,40,2017,thousand metric tons
Mozambique,577,2017,thousand metric tons
Netherlands,50,2017,thousand metric tons
New Zealand,337,2017,thousand metric tons
Nigeria,NA,2017,thousand metric tons
Norway,1230,2017,thousand metric tons
Oman,253,2017,thousand metric tons
Qatar,620,2017,thousand metric tons
Romania,270,2017,thousand metric tons
Russian Federation,3583,2017,thousand metric tons
Saudi Arabia,762,2017,thousand metric tons
Slovakia,200,2017,thousand metric tons
Slovenia,80,2017,thousand metric tons
South Africa,716,2017,thousand metric tons
Spain,410,2017,thousand metric tons
Sweden,123,2017,thousand metric tons
Tajikistan,125,2017,thousand metric tons
Turkey,80,2017,thousand metric tons
United Arab Emirates,2600,2017,thousand metric tons
United Kingdom,48,2017,thousand metric tons
USA,741,2017,thousand metric tons
Venezuela,175,2017,thousand metric tons
Argentina,412,2016,thousand metric tons
Australia,1635,2016,thousand metric tons
Azerbaijan,37,2016,thousand metric tons
Bahrain,971,2016,thousand metric tons
Bosnia Herzegovina,107,2016,thousand metric tons
Brazil,793,2016,thousand metric tons
Cameroon,60,2016,thousand metric tons
Canada,3209,2016,thousand metric tons
China,31873,2016,thousand metric tons
Egypt,296,2016,thousand metric tons
France,425,2016,thousand metric tons
Germany,547,2016,thousand metric tons
Ghana,40,2016,thousand metric tons
Greece,181,2016,thousand metric tons
Iceland,854,2016,thousand metric tons
India,2723,2016,thousand metric tons
Indonesia,250,2016,thousand metric tons
Iran,360,2016,thousand metric tons
Japan,NA,2016,thousand metric tons
Kazakhstan,236,2016,thousand metric tons
Malaysia,620,2016,thousand metric tons
Montenegro,40,2016,thousand metric tons
Mozambique,571,2016,thousand metric tons
Netherlands,50,2016,thousand metric tons
New Zealand,339,2016,thousand metric tons
Nigeria,NA,2016,thousand metric tons
Norway,1220,2016,thousand metric tons
Oman,386,2016,thousand metric tons
Qatar,612,2016,thousand metric tons
Romania,273,2016,thousand metric tons
Russian Federation,3561,2016,thousand metric tons
Saudi Arabia,740,2016,thousand metric tons
Slovakia,215,2016,thousand metric tons
Slovenia,84,2016,thousand metric tons
South Africa,701,2016,thousand metric tons
Spain,350,2016,thousand metric tons
Sweden,124,2016,thousand metric tons
Tajikistan,129,2016,thousand metric tons
Turkey,79,2016,thousand metric tons
United Arab Emirates,2500,2016,thousand metric tons
United Kingdom,48,2016,thousand metric tons
USA,818,2016,thousand metric tons
Venezuela,140,2016,thousand metric tons
Argentina,433,2015,thousand metric tons
Australia,1646,2015,thousand metric tons
Azerbaijan,53,2015,thousand metric tons
Bahrain,961,2015,thousand metric tons
Bosnia Herzegovina,99,2015,thousand metric tons
Brazil,772,2015,thousand metric tons
Cameroon,60,2015,thousand metric tons
Canada,2880,2015,thousand metric tons
China,31400,2015,thousand metric tons
Egypt,300,2015,thousand metric tons
France,420,2015,thousand metric tons
Germany,541,2015,thousand metric tons
Ghana,40,2015,thousand metric tons
Greece,179,2015,thousand metric tons
Iceland,878,2015,thousand metric tons
India,2355,2015,thousand metric tons
Indonesia,168,2015,thousand metric tons
Iran,355,2015,thousand metric tons
Japan,NA,2015,thousand metric tons
Kazakhstan,222,2015,thousand metric tons
Malaysia,400,2015,thousand metric tons
Montenegro,42,2015,thousand metric tons
Mozambique,558,2015,thousand metric tons
Netherlands,25,2015,thousand metric tons
New Zealand,333,2015,thousand metric tons
Nigeria,NA,2015,thousand metric tons
Norway,1225,2015,thousand metric tons
Oman,377,2015,thousand metric tons
Qatar,638,2015,thousand metric tons
Romania,271,2015,thousand metric tons
Russian Federation,3529,2015,thousand metric tons
Saudi Arabia,682,2015,thousand metric tons
Slovakia,209,2015,thousand metric tons
Slovenia,84,2015,thousand metric tons
South Africa,695,2015,thousand metric tons
Spain,350,2015,thousand metric tons
Sweden,116,2015,thousand metric tons
Tajikistan,140,2015,thousand metric tons
Turkey,46,2015,thousand metric tons
United Arab Emirates,2464,2015,thousand metric tons
United Kingdom,47,2015,thousand metric tons
USA,1590,2015,thousand metric tons
Venezuela,119,2015,thousand metric tons
Argentina,442,2014,thousand metric tons
Australia,1703,2014,thousand metric tons
Azerbaijan,50,2014,thousand metric tons
Bahrain,931,2014,thousand metric tons
Bosnia Herzegovina,126,2014,thousand metric tons
Brazil,962,2014,thousand metric tons
Cameroon,93,2014,thousand metric tons
Canada,2858,2014,thousand metric tons
China,28300,2014,thousand metric tons
Egypt,304,2014,thousand metric tons
France,360,2014,thousand metric tons
Germany,531,2014,thousand metric tons
Ghana,38,2014,thousand metric tons
Greece,173,2014,thousand metric tons
Iceland,845,2014,thousand metric tons
India,1939,2014,thousand metric tons
Indonesia,211,2014,thousand metric tons
Iran,355,2014,thousand metric tons
Japan,1,2014,thousand metric tons
Kazakhstan,209,2014,thousand metric tons
Malaysia,400,2014,thousand metric tons
Montenegro,43,2014,thousand metric tons
Mozambique,567,2014,thousand metric tons
Netherlands,NA,2014,thousand metric tons
New Zealand,328,2014,thousand metric tons
Nigeria,NA,2014,thousand metric tons
Norway,1250,2014,thousand metric tons
Oman,364,2014,thousand metric tons
Qatar,640,2014,thousand metric tons
Romania,263,2014,thousand metric tons
Russian Federation,3300,2014,thousand metric tons
Saudi Arabia,662,2014,thousand metric tons
Slovakia,203,2014,thousand metric tons
Slovenia,84,2014,thousand metric tons
South Africa,745,2014,thousand metric tons
Spain,350,2014,thousand metric tons
Sweden,113,2014,thousand metric tons
Tajikistan,125,2014,thousand metric tons
Turkey,30,2014,thousand metric tons
United Arab Emirates,2341,2014,thousand metric tons
United Kingdom,42,2014,thousand metric tons
USA,1710,2014,thousand metric tons
Venezuela,138,2014,thousand metric tons
Argentina,440.0,2013,thousand metric tons
Australia,1777.0,2013,thousand metric tons
Azerbaijan,53.0,2013,thousand metric tons
Bahrain,913.0,2013,thousand metric tons
Bosnia Herzegovina,129.0,2013,thousand metric tons
Brazil,1304.0,2013,thousand metric tons
Cameroon,75.0,2013,thousand metric tons
Canada,2967.0,2013,thousand metric tons
China,26500.0,2013,thousand metric tons
Egypt,307.0,2013,thousand metric tons
France,346.0,2013,thousand metric tons
Germany,492.0,2013,thousand metric tons
Ghana,37.0,2013,thousand metric tons
Greece,169.0,2013,thousand metric tons
Iceland,833.0,2013,thousand metric tons
India,1703.0,2013,thousand metric tons
Indonesia,255.0,2013,thousand metric tons
Iran,350.0,2013,thousand metric tons
Japan,3.0,2013,thousand metric tons
Kazakhstan,250.0,2013,thousand metric tons
Malaysia,291.0,2013,thousand metric tons
Montenegro,48.0,2013,thousand metric tons
Mozambique,561.0,2013,thousand metric tons
Netherlands,50.0,2013,thousand metric tons
New Zealand,325.0,2013,thousand metric tons
Nigeria,2.0,2013,thousand metric tons
Norway,1155.0,2013,thousand metric tons
Oman,354.0,2013,thousand metric tons
Qatar,634.0,2013,thousand metric tons
Romania,250.0,2013,thousand metric tons
Russian Federation,3601.0,2013,thousand metric tons
Saudi Arabia,187.0,2013,thousand metric tons
Slovakia,192.0,2013,thousand metric tons
Slovenia,84.0,2013,thousand metric tons
South Africa,822.0,2013,thousand metric tons
Spain,235.0,2013,thousand metric tons
Sweden,131.0,2013,thousand metric tons
Tajikistan,216.0,2013,thousand metric tons
Turkey,32.0,2013,thousand metric tons
United Arab Emirates,1864.0,2013,thousand metric tons
United Kingdom,44.0,2013,thousand metric tons
USA,1950.0,2013,thousand metric tons
Venezuela,186.0,2013,thousand metric tons
Argentina,413,2012,thousand metric tons
Australia,1860,2012,thousand metric tons
Azerbaijan,55,2012,thousand metric tons
Bahrain,890,2012,thousand metric tons
Bosnia Herzegovina,101,2012,thousand metric tons
Brazil,1436,2012,thousand metric tons
Cameroon,52,2012,thousand metric tons
Canada,2781,2012,thousand metric tons
China,23500,2012,thousand metric tons
Egypt,337,2012,thousand metric tons
France,349,2012,thousand metric tons
Germany,410,2012,thousand metric tons
Ghana,410,2012,thousand metric tons
Greece,165,2012,thousand metric tons
Iceland,803,2012,thousand metric tons
India,1704,2012,thousand metric tons
Indonesia,248,2012,thousand metric tons
Iran,337,2012,thousand metric tons
Italy,110,2012,thousand metric tons
Japan,26,2012,thousand metric tons
Kazakhstan,250,2012,thousand metric tons
Malaysia,120,2012,thousand metric tons
Montenegro,75,2012,thousand metric tons
Mozambique,564,2012,thousand metric tons
Netherlands,110,2012,thousand metric tons
New Zealand,327,2012,thousand metric tons
Nigeria,26,2012,thousand metric tons
Norway,1145,2012,thousand metric tons
Oman,360,2012,thousand metric tons
Qatar,628,2012,thousand metric tons
Romania,249,2012,thousand metric tons
Russian Federation,4024,2012,thousand metric tons
Saudi Arabia,NA,2012,thousand metric tons
Slovakia,181,2012,thousand metric tons
