"Year","Region","ecoinvent_activity","value"
2000,"CA-QC","electricity production, hydro, aluminium industry",1
2000,"CN","electricity production, hydro, aluminium industry",0.100004624491306
2000,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.389345647032323
2000,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.47376044919999
2000,"IAI Area, South America","electricity production, hydro, aluminium industry",0.917657326872724
2000,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.257283390087022
2000,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2000,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.453840631730079
2000,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.453840631730079
2000,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.252472006890612
2000,"GLO","electricity production, hydro, aluminium industry",0.462894103506283
2001,"CA-QC","electricity production, hydro, aluminium industry",1
2001,"CN","electricity production, hydro, aluminium industry",0.100001917582312
2001,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.339251743817375
2001,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.324964596009981
2001,"IAI Area, South America","electricity production, hydro, aluminium industry",0.959970193740686
2001,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.260447385456376
2001,"IAI Area, Gulf Cooperation Council","electricity production, hydro, aluminium industry",0
2001,"IAI Area, EU27 & EFTA","electricity production, hydro, aluminium industry",0.447576502817296
2001,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, hydro, aluminium industry",0.447576502817296
2001,"UN-OCEANIA","electricity production, hydro, aluminium industry",0.229355753001497
2001,"GLO","electricity production, hydro, aluminium industry",0.434825786721373
2002,"CA-QC","electricity production, hydro, aluminium industry",1
2002,"CN","electricity production, hydro, aluminium industry",0.10000150650055
2002,"IAI Area, Africa","electricity production, hydro, aluminium industry",0.320373868947002
2002,"IAI Area, North America, without Quebec","electricity production, hydro, aluminium industry",0.278559241524362
2002,"IAI Area, South America","electricity production, hydro, aluminium industry",0.959970193740686
2002,"IAI Area, Asia, without China and GCC","electricity production, hydro, aluminium industry",0.229215523110674
