aluminium_region_ei35,aluminium_region_ei34,region
RNA,CA-QC,North America
CN,CN,China
"IAI Area 1, Africa","IAI Area, Africa",Africa
RNA,"IAI Area, North America, without Quebec",North America
"IAI Area, South America","IAI Area, South America",South America
"IAI Area 4&5, without China","IAI Area, Asia, without China and GCC",Asia (ex China)
"IAI Area 8, Gulf","IAI Area, Gulf Cooperation Council",GCC
"IAI Area, EU27 & EFTA","IAI Area, EU27 & EFTA",Europe
"IAI Area, Europe outside EU & EFTA","IAI Area, Russia & RER w/o EU27 & EFTA",Europe
UN-OCEANIA,UN-OCEANIA,Oceania
