Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.3909790549142107,2000
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0008713610188515148,2000
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00032928177330313215,2000
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.9307156391844955e-07,2000
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0062571942551328304,2000
ecoinvent 3.4 cutoff to edit,94979b2c8f3b446182ec679db29d5513,alumina production,SA,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.014693047206252679,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.3174667139249325,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.00042320572859786077,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00014209307570605255,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.3738739907673163e-07,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.003395642902351999,2000
ecoinvent 3.4 cutoff to edit,2ab40bc3b3f347e68c84e7e02c8aa463,alumina production,BR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.008050045480229633,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6711129257536381,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0006426888731434592,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00021807824556557747,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.77243290606899e-07,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.004216801660335493,2000
ecoinvent 3.4 cutoff to edit,a096737d3e0149d38ea89b0e9c44a3bb,alumina production,GLO,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.00931714351956936,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,2.3895947205882715,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.000871064372439537,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00032913715194900206,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.931254197160635e-07,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.0062538914529631975,2000
ecoinvent 3.4 cutoff to edit,ab66377f89544d76bb47e6b3192d641a,alumina production,JP,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.01468868090761367,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.1137183313145056,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005157651254220222,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00014639118240278737,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,1.2682710076121773e-07,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.002766325956641622,2000
ecoinvent 3.4 cutoff to edit,12c0a15643b74aa58c128222b775d367,alumina production,AU,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.005576649352529141,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237368177705263,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641977363290627,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0002017866919200643,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.6813154411561523e-07,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.004150679343838711,2000
ecoinvent 3.4 cutoff to edit,a26dce6a853d4a5799b662f4c5f369b3,alumina production,GR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009553983775498449,2000
