Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.3927615185864,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009106490122526786,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.003047850455151444,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.501484559058815e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.026273229904608272,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,5485be0108344db0a641ac22f8084d68,"aluminium production, primary, ingot",CH,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05592875544235194,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,f3fdcf5dbcd448568ae885aeaf376cfb,"aluminium production, primary, ingot",GH,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,17.931936565064348,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,f3fdcf5dbcd448568ae885aeaf376cfb,"aluminium production, primary, ingot",GH,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009679903943814926,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,f3fdcf5dbcd448568ae885aeaf376cfb,"aluminium production, primary, ingot",GH,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00459030094066213,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,f3fdcf5dbcd448568ae885aeaf376cfb,"aluminium production, primary, ingot",GH,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,4.462634465225113e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,f3fdcf5dbcd448568ae885aeaf376cfb,"aluminium production, primary, ingot",GH,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.06969707613200012,2000,globalized_for_alumina
