Year,Mineral,Producer_region,Consumer_region,type,value
2000,alumina,Africa,Africa,Domestic,0.010465228745526646
2000,alumina,China,Africa,Embodied,3.57157074295301e-06
2000,alumina,China,China,Domestic,0.08328642906760385
2000,alumina,China,Europe,Embodied,5.260849835692187e-05
2000,alumina,China,GCC,Embodied,2.059589690200736e-08
2000,alumina,China,North America,Embodied,0.00011506976303992399
2000,alumina,China,Oceania,Embodied,1.510855902080603e-07
2000,alumina,China,Rest of Asia,Embodied,0.00025383143756938377
2000,alumina,China,South America,Embodied,4.883640657954269e-05
2000,alumina,Europe,Africa,Embodied,0.0002601993317460565
2000,alumina,Europe,China,Embodied,0.00030317627193117105
2000,alumina,Europe,Europe,Domestic,0.13406664702856133
2000,alumina,Europe,Europe,Embodied,0.06723863585967468
2000,alumina,Europe,GCC,Embodied,5.8319973512016155e-06
2000,alumina,Europe,North America,Embodied,0.0005988121210418518
2000,alumina,Europe,Oceania,Embodied,1.4166393450508659e-05
2000,alumina,Europe,Rest of Asia,Embodied,0.00039960604022835314
2000,alumina,Europe,South America,Embodied,0.0003047230022474895
2000,alumina,North America,Africa,Embodied,5.16947077184385e-05
2000,alumina,North America,China,Embodied,0.0003719489820268768
2000,alumina,North America,Europe,Embodied,0.00046462998181658494
2000,alumina,North America,GCC,Embodied,3.6144509758855276e-05
2000,alumina,North America,North America,Domestic,0.09440236210126078
2000,alumina,North America,North America,Embodied,0.016374205838567375
2000,alumina,North America,Oceania,Embodied,5.135419933438062e-06
2000,alumina,North America,Rest of Asia,Embodied,0.0003953284243999229
2000,alumina,North America,South America,Embodied,0.0003465624148253242
2000,alumina,Oceania,Africa,Embodied,0.03049769669430202
2000,alumina,Oceania,China,Embodied,0.031209308196682578
2000,alumina,Oceania,Europe,Embodied,0.01608685188044536
2000,alumina,Oceania,GCC,Embodied,0.017674589005337662
2000,alumina,Oceania,North America,Embodied,0.05033576656290467
2000,alumina,Oceania,Oceania,Domestic,0.1375685601715467
2000,alumina,Oceania,Oceania,Embodied,0.011902947226503749
