Spatial_contribution,Score,Rel_Score,Year,Producing_country,Method_name,Midpoint,Midpoint_abb,Unit
AR,4.830047744043234,0.6532881181160224,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ES,0.0007544050096708151,0.00010203705122231087,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CA,4.236828462383494e-06,5.730522428860982e-07,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BR,2.343436487163753,0.31696150716350496,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SR,0.0003726435239814787,5.040190064585084e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IN,5.503654860116789e-05,7.443968500642661e-06,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GN,6.135870347758523e-06,8.299071572190218e-07,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BA,4.5291079860204655e-06,6.125845104907257e-07,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IE,0.0004526255766101754,6.121987334794226e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
UA,1.0046332749897336e-07,1.3588167579175483e-08,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SK,4.8279739377144714e-09,6.530076254365194e-10,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
US,0.0017153393163076085,0.00023200822295453308,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
KZ,8.142339465855853e-06,1.1012921421472343e-06,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RO,3.019776329152118e-05,4.084398539612943e-06,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CN,0.0070323812105801435,0.0009511647359180338,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IT,0.0009748887407370963,0.00013185857874678096,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AU,0.20451890113904525,0.02766220441797102,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AZ,1.673335889201928e-09,2.2632704933008286e-10,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SI,4.229761344796537e-06,5.720963798815178e-07,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
FR,0.00019586166432156185,2.6491269833410554e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VE,2.947934923120202e-05,3.9872294443233965e-06,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RU,3.019863830866171e-07,4.084516890058187e-08,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GB,1.1470122203510071e-05,1.551391403559763e-06,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
DE,0.0022016921212819297,0.00029778987264815547,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HU,0.0002200695318292573,2.9765505005766402e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GR,9.563949252423267e-05,1.2935719769184976e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JM,0.0011118192545061514,0.00015037911568415775,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JP,0.00015728199052454287,2.127317597016303e-05,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TR,3.389497264168398e-07,4.584464598303066e-08,2000,AR,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AR,0.0002519170078171923,0.22799965546855003,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
ME,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
ES,2.6212251522606117e-07,0.00023723623775914453,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
IR,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
CA,2.4442644315146687e-09,2.212202554675401e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
BR,0.0007527747975236548,0.6813053075215495,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SA,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SR,1.1970326753809484e-07,0.00010833847223586587,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
IN,2.0375653584438134e-08,1.844116059273619e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GN,2.2366931049976013e-09,2.0243383396265135e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
BA,1.573723493459038e-09,1.4243119883822962e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
IE,1.5727322960566195e-07,0.00014234148966447795,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
UA,3.490775064803595e-11,3.159356007717349e-08,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SK,1.675147972962728e-12,1.5161070862333281e-09,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
US,1.1065251953920165e-06,0.0010014701488504747,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
VN,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
KZ,2.9681061539478407e-09,2.6863100128009975e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
RO,1.049272549597697e-08,9.496531491612742e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
ID,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
CN,2.0991237802767594e-06,0.0018998300386143241,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
IT,3.387272799836507e-07,0.0003065680392254994,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
AU,9.471310037739867e-05,0.08572090642675279,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
AZ,6.09976846575684e-13,5.520647933543664e-10,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
SI,1.4692619929729255e-09,1.3297682085599955e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
FR,6.804898413547815e-08,6.158831859868971e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
VE,9.469561667383904e-09,8.57050826504129e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
RU,1.0492964373793023e-10,9.496747690035513e-08,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GB,3.985494508761801e-09,3.6071060971353526e-06,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GLO,0.0,0.0,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
DE,7.649562677902837e-07,0.0006923302519981337,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
HU,7.646689628731122e-08,6.920702242108195e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
GR,3.323173122251129e-08,3.0076664275300847e-05,2000,AR,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
