Score,Rel_score,Supply,Activity,Year,Country,Method_name,Midpoint,Midpoint_abb,Unit
23218585818.73005,0.061315381528619824,19326535412.41537,"'electricity production, lignite' (kilowatt hour, AU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
22048668738.288033,0.05822587759826913,29300556700.72968,"'hard coal mine operation and hard coal preparation' (kilogram, CN, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
21707843685.467564,0.05732583061386834,260012191446.69455,"'heat production, heavy fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
21314983404.17268,0.056288369580578146,185251024773.99963,"'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
12685960534.172403,0.03350094257602547,11719818655.343681,"'electricity production, hard coal' (kilowatt hour, ZA, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
11334535334.178247,0.02993211403530579,7274203176.698452,"'heat and power co-generation, hard coal' (kilowatt hour, RU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
9861214152.10394,0.026041383949573785,18409250663.956093,"'electricity production, natural gas, conventional power plant' (kilowatt hour, RoW, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
8419963368.856996,0.022235345014079224,6769131731.511794,"'electricity production, lignite' (kilowatt hour, US-SERC, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
7450137175.146526,0.019674238857655308,6336107460.277513,"'electricity production, lignite' (kilowatt hour, US-RFC, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
6985668191.715078,0.018447674365327967,6197362225.588949,"'electricity production, hard coal' (kilowatt hour, US-SERC, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
6964868392.868574,0.018392746489360467,3236662932.186402,"'aluminium production, primary, liquid, prebake' (kilogram, US, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
6901833184.799574,0.01822628381748797,4143859210.219949,"'heat and power co-generation, lignite' (kilowatt hour, RU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
6186452076.158288,0.016337113393537203,5800031074.589672,"'electricity production, hard coal' (kilowatt hour, US-RFC, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
6181241382.975944,0.016323353053308114,2872501493.303144,"'aluminium production, primary, liquid, prebake' (kilogram, CN, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
5894792541.410314,0.015566902158919042,3976577340.7227893,"'electricity production, hard coal' (kilowatt hour, IN-UP, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
5847914017.3150215,0.015443105877231519,14776585335.441671,"'hard coal mine operation and hard coal preparation' (kilogram, RoW, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
5250815405.479686,0.013866294546829168,3882552894.8555107,"'electricity production, hard coal' (kilowatt hour, CN-NM, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
5228396883.473142,0.013807091964860109,1886642888.8277128,"'aluminium production, primary, liquid, Söderberg' (kilogram, RU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
4861761625.354382,0.012838885679218833,4660457133.441617,"'electricity production, hard coal' (kilowatt hour, AU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
4422139142.524538,0.011677935547556365,2478296878.7822266,"'aluminium production, primary, liquid, prebake' (kilogram, CA, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
4337587670.151399,0.011454652965755733,5162802702.447924,"'electricity production, hard coal' (kilowatt hour, CN-JS, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
4183498002.0351844,0.011047734695025287,3527742531.8154826,"'electricity production, lignite' (kilowatt hour, DE, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
4003294669.905157,0.010571855752675233,4198962829.22169,"'electricity production, hard coal' (kilowatt hour, CN-SD, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
3970379893.42873,0.01048493477939385,2975982920.335492,"'electricity production, hard coal' (kilowatt hour, IN-CT, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
3882785697.6032596,0.010253617007559581,1804379900.9790037,"'aluminium production, primary, liquid, prebake' (kilogram, AU, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
162668835.4581383,0.6574804006276728,782339714137.3544,"'treatment of spoil from lignite mining, in surface landfill' (kilogram, GLO, None)",2000,GLO,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq
